N_app,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
12.0,0.07598250000000001,1609.534970794161,1745.3737222843583,0.9235849308699244,1.4173492222304669,1.4579918884316183,1.5403447383310753,0.2631000279339085,0.009203125,0.39935937499999996,1.3038186255934021,1.89582971746153,1.4542756094656601,1738.9690482115166,1838.2545047906244,1439.682218997128,0.31678297037074443,0.2805348244126661,0.8072335587428234,0.9935399259570432,5731.739289503337,0.05185530053668573,180.9089186506088,99.54906585646198,0.10263686744868997,0.14844325698543515,0.11685462679974705,0.12246480306882548,0.014804127555817694,0.02812100232005209,0.05026181210282191,0.10107807164517804,0.1636920762244945,0.059970527105612494,202.9192088214732,236.41248902104232,124.77523423247209,0.05263429909799791,0.04939772336691245,0.04825738142270759,0.000638387935890946,1300.195804776824
12.0,0.08066749999999999,1620.2541988288583,1733.7354839120142,0.936661864349743,1.4114738625524732,1.4305321762994323,1.5149431714072152,0.2663291449932597,0.00971875,0.394921875,1.281968876706144,1.8654786232321563,1.4558379327587812,1722.7582797863863,1824.1089865093425,1440.7584005844421,0.2847984447247937,0.3041091887466702,0.8118646174703484,0.9933382129012526,5053.933821135743,0.05755824826860178,203.63446671902764,110.99209337684736,0.11907248818667768,0.1632453811107518,0.13860429603796448,0.13758793482511233,0.018133266140868274,0.031952708585306196,0.053320355425806897,0.11650719616276886,0.17691399926928328,0.06047720649617566,218.0074541141314,251.0323986517833,135.2261713898365,0.08507184508545057,0.06472622289220442,0.05205327374406681,0.0006166779073682705,1425.4212819136155
12.0,0.08039500000000001,1601.1152990757787,1729.0945680728742,0.9278168843790927,1.4000303434737282,1.4279726200323166,1.5165630978256381,0.26779496828396765,0.009859375,0.39799999999999996,1.2796840727925234,1.8730125917978642,1.464603255684358,1729.510367728767,1833.326754368237,1431.1737199243132,0.3240520367752714,0.300019276756916,0.8456041636828994,0.9934011250979605,4694.154508773104,0.05814059661716587,201.4101488836195,110.56994793211393,0.11535834973240963,0.16501323529790693,0.13745956639342982,0.14229232769594072,0.01762853260016766,0.032397068823573766,0.05291598588800931,0.12210042121147004,0.1799361555200641,0.056592427262649,221.07493004283984,255.81064285177882,129.76720135766814,0.08261943013573572,0.06169514468485633,0.05712175528044094,0.0006479177764265813,1178.2448653980546
12.0,0.08665500000000001,1616.1492168545362,1719.6883804361032,0.941903997944115,1.3881476621660227,1.39273494986604,1.482110847075171,0.27125488279642496,0.012312500000000002,0.389796875,1.2579934678241929,1.8198216340983988,1.4477464595852247,1723.9601938895748,1831.3437540869916,1440.6269061064884,0.24745223072741512,0.3336898350801367,0.8125490010937076,0.9938070562450463,3863.9463591568497,0.060832482893598876,213.9058753065838,115.22388491883757,0.12413403163874806,0.17172490643415833,0.13868722596681266,0.14495866658368253,0.017358310754345626,0.03870415634980305,0.05791711607102321,0.12538870541045008,0.18209835568354926,0.060244483122103315,233.711826109217,272.77440538818445,146.47167087877023,0.06855730170927152,0.06397898456158065,0.052692557700138865,0.0006535959135337179,1178.870573936682
2.0,0.08631999999999998,2059.618423264756,1677.6051316275668,1.2277367724378003,0.24651862659911025,0.16877850290071428,0.20111652763393784,0.293238682622292,0.0,0.12657812499999999,0.17044352502180016,0.2470515763368202,1.4508825088332207,1676.9251085403469,2307.0228748482796,1694.691933581171,0.3045474004548712,9.525484376208816,0.14044104994262122,0.9986459140491939,750.3867443556469,0.015403168505213468,110.34977472634841,31.770150546944752,0.06183856834867215,0.018810061209381362,0.013873584792834168,0.016294971422957237,0.012437345818509688,0.0,0.021395406697101486,0.01449541481686862,0.02010029254418875,0.05235347267797365,57.34188051994928,182.30555621078759,41.993289919579375,0.019220806087224707,0.8067431413467877,0.011064103213113304,0.00012746566285034582,101.12599381897873
3.0,0.07804,1552.1827745381836,1694.3287851575124,0.9165795318303133,1.2997991547853007,1.2724760768049783,1.4207673794738533,0.31378033183940085,0.00042187500000000005,0.350765625,1.2021997168806022,1.7511620181328382,1.4581874945831332,1695.707196409579,1787.4260309165577,1387.7677563543425,0.49416146896366725,0.46355189838018646,0.7096065656004663,0.9975311645010475,1866.3145952931047,0.03406263935751308,141.03547481702418,63.471162439131184,0.0811356394644344,0.10296208336450491,0.061241064329979035,0.06791979761905004,0.01175733054224627,0.004541233613719404,0.047183358158458526,0.06497358493849613,0.08410038298823463,0.05684095929846802,130.31799346773406,148.96923965082559,83.58255204157989,0.03792357919160469,0.06077201277237174,0.04271967360742585,0.00013334986759880037,400.55477430919456
2.0,0.08714499999999997,2054.033812889688,1677.0615345916726,1.2247213821818255,0.22914622185610375,0.15842767514044243,0.1874971877577693,0.2831641673504728,0.0,0.11857812499999999,0.1578384620618096,0.2319089539230928,1.470433725090204,1677.0604811356243,2314.8557311188742,1693.1066589022655,0.3225959130669622,10.07400147835859,0.1355696500333502,0.9983239806997354,754.3833982250151,0.01580882585772897,122.37804384952936,31.070356865109524,0.06825273597604847,0.013591678823904229,0.01128424647100713,0.012839771998470391,0.010481549736552161,0.0,0.02142095184006479,0.011316200491243862,0.016354149360684595,0.05486604555729697,62.26193537800124,195.8754110527949,40.22765563224935,0.01681887780458311,0.7664009074331798,0.007853522278609618,4.392290711783449e-05,113.33467711311458
2.0,0.08805499999999998,2048.7248155265943,1672.481868917874,1.224966436362431,0.22241905530362074,0.15242500818960583,0.18183001766498727,0.28352717863620297,0.0,0.119859375,0.15332390420075892,0.22449390061180385,1.4659780013284525,1672.7022526517799,2351.4559849956386,1691.9369515411845,0.3262843158980443,10.394466991364425,0.13466360346084985,0.998388596858869,738.4635107800551,0.013985598843095713,92.74543827853851,27.8969690267976,0.051643942257655985,0.017189136471564087,0.01288286567179964,0.015243876103896775,0.012791999547812204,0.0,0.02086601018065924,0.013683758316641441,0.01846327099641303,0.05184736145608371,46.223334971414694,174.74654577209154,34.78738811190735,0.014868055574688472,0.8917340819564742,0.009668100157483416,0.00011179953056044256,88.73207369141815
12.0,0.0775875,1619.3059676245582,1740.4665153869255,0.9320637074665208,1.4201284104846397,1.4448841411082123,1.5292411147755955,0.26499716797932016,0.011015625,0.3973281249999999,1.2953900755226662,1.8815281161863118,1.4531997674764243,1736.4188963089637,1838.1280032983877,1440.9867411877924,0.29109167037972605,0.29272231960701345,0.8122471866539445,0.9938579526347934,5295.199129653116,0.05378305814798931,181.34632480720057,102.12643758290963,0.10430596989985028,0.1533947448200332,0.12149301488542191,0.12531826527071013,0.016190028365583902,0.03384886777440828,0.05161824401540965,0.10650700778369981,0.16205595291507452,0.05871506365364557,212.01428287681867,242.78962097751085,121.12895377206851,0.07532656128299034,0.045131313045347905,0.0506646414441888,0.0005453347624778511,1418.2753297888037
3.0,0.07758,1576.9241261273978,1696.1372135773167,0.9302420209820869,1.2831564250086438,1.235679064923099,1.3831280773051537,0.3155093688553032,0.00020312500000000004,0.35221874999999997,1.1717385959349818,1.7012884258868137,1.4535390051387032,1696.3502730531234,1788.4882011817397,1401.9088690208923,0.4283003749861683,0.509830575176697,0.6981203598111404,0.9977038393022795,1851.5678749677072,0.03341621761959302,150.35994644479962,62.47677934387951,0.08771073341589154,0.10251571388266122,0.06993489698611852,0.07791691490667634,0.012680697536717182,0.0021780487791541775,0.0493330419033481,0.072013222731941,0.10116484070526466,0.06405197403374724,139.5488426876772,159.89217346609675,86.92688546528983,0.02181842463252581,0.07807181411791349,0.042696192214840695,0.00016136858349059154,520.1871833426991
