sigma_m,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
0.4,0.07085,1509.8493575841735,1719.1326447347158,0.8785789611624449,1.3665822377137895,1.4359839567424149,1.5578242671353058,0.289810676850254,0.000265625,0.382859375,1.3175737221993429,1.9193894904888242,1.457783043601614,1723.139016433332,1803.885995898323,1359.316392723379,0.5074544469578981,0.32674485111840296,0.7255665874395083,0.9937609221756328,3685.606584959982,0.02737229438684304,103.90160029047037,51.214973040846544,0.05957212578905167,0.07854885185399792,0.06001841603393184,0.06542252772426624,0.010525688868482342,0.0034272218500375783,0.03987587859043829,0.06029950778310076,0.09004348866185673,0.0567235089141677,110.8977662838887,125.25286260431466,65.4182499547143,0.02220337525364844,0.045511466120680986,0.03285324943243044,0.0006789184508756388,843.464190866538
0.35,0.0734025,1513.2566699051508,1715.7384093934838,0.8824350761381232,1.3783840683383743,1.4436546157607324,1.5642130583994076,0.28830796425391525,0.000765625,0.38828125,1.3225811538706955,1.9286837606091751,1.4596575686814937,1714.422076010818,1790.5942571362334,1362.887257655816,0.512704611726179,0.32455257606870247,0.734577475872839,0.9954593743182228,3225.470897267269,0.03233041128334124,113.83853854354365,60.225832140637145,0.0651267537645984,0.09788577664077866,0.07117232807878861,0.07696929093013632,0.011328645780207137,0.0059210091715327555,0.04193762807357493,0.07258942196042077,0.09629622970804824,0.0543087293469479,123.483852453123,138.7096207432861,74.23478119352436,0.019217485868367974,0.04234921607947231,0.034654160343568316,0.00046482478876638984,985.7186875012793
0.375,0.0685875,1501.5470562653832,1725.563753106969,0.8704363417012015,1.3733560835179268,1.4604573277284862,1.579602303195906,0.28660660374193075,7.8125e-05,0.39003125000000005,1.3348313595113979,1.948145934785718,1.460505840116429,1731.1363120403164,1805.4805587662095,1359.1570076270948,0.5068476765616576,0.3115047275160331,0.7228565343391287,0.9942434934688464,3779.269629281038,0.022149545000970088,86.08352952295704,42.334150349191084,0.049697333156903035,0.06793730787227185,0.059538697733945815,0.06076622157431673,0.01030314991830526,0.0010334966058846058,0.0368966964772932,0.05662282319474113,0.08722682399598804,0.05893254357476983,85.3958852558008,94.42118309182807,56.0019193926993,0.026617509100917643,0.03438586283302748,0.038188481076980293,0.0005082287068389181,858.1000121091076
0.3,0.07071999999999999,1495.98203788718,1723.5153450757994,0.8683745503853956,1.3866954833312335,1.4791708240954191,1.5990043941396943,0.28580950915453385,0.0001875,0.399453125,1.348464526765283,1.976320538708012,1.4667175582907563,1723.3904096189012,1794.9728027445892,1357.2408541522495,0.5409629039024422,0.29879525704890947,0.72902676487434,0.9963875375748047,2981.8118603973694,0.025854817732871353,92.55011985511962,48.422901359228256,0.05446659808446143,0.07961860377326646,0.06481102829660014,0.07238364743667909,0.01072189301893727,0.00201653322561271,0.04104582221718033,0.06534340921362417,0.10010816491513604,0.061232588993830044,101.65079380702689,110.52894199486776,56.36596818641806,0.015347997632353269,0.03803620239064751,0.0356098496216654,0.0002296521188292344,620.99940640125
0.3,0.07272499999999998,1512.3345914884665,1718.2267940942336,0.8806288634772215,1.3978101028543966,1.4618651722056568,1.5883839281187537,0.287744699627543,0.00115625,0.40046875,1.3454613921689622,1.954697605476051,1.453868105034323,1721.0892686995564,1794.5791204671834,1362.6300304527983,0.540071720235075,0.30671161914566875,0.7383085613710568,0.9964841154976938,3725.550752644248,0.027225252524081374,86.24877842602412,51.09199398302866,0.051295892473982245,0.08626122114841174,0.06286166455966082,0.06786639905408949,0.011254231141448853,0.008363740098634104,0.037437121763531714,0.06346936150788268,0.08792738398026183,0.0514402592494247,107.25260312104297,116.96251072025308,59.29800898927716,0.015220696082487762,0.02837819706674133,0.034288572613489936,0.00025483235777608873,911.7993895705969
0.35,0.07017749999999999,1504.436842426458,1722.6304541603538,0.8735986722611208,1.3838057511953292,1.467227660034054,1.5855059320288822,0.2848844874725446,9.375000000000002e-05,0.39003125,1.3422309681879272,1.9523580311681565,1.454983536382532,1724.070140548567,1796.8641864118833,1361.6595805147942,0.5237771112779614,0.30398619553176603,0.7251157328856439,0.995241871251956,3035.961048357556,0.025542630908933384,89.07685835598058,47.161041133546604,0.050536716681603366,0.07585584139970745,0.05528072544868511,0.06234340935829881,0.009823157063128538,0.000983754764918575,0.03740664160196021,0.053243312529495775,0.08947143560143292,0.048327326525321825,95.9456343192786,105.2056181617365,57.30804875537567,0.025630401195255267,0.03526565373094938,0.028246691429796494,0.00051019241407883,769.1072819548737
0.35,0.0721525,1528.86216082906,1718.672252699231,0.889992433151831,1.3840455577562096,1.435442898269237,1.5567416286413585,0.2892987068289402,0.00078125,0.38940624999999995,1.3160483608528428,1.920146950968268,1.4602201180839252,1719.434870749983,1797.6211712020151,1375.5170587742296,0.4745161145665746,0.32853602963726247,0.7242142761244688,0.9950823651950457,3968.637440206697,0.029696872625749653,104.2539200449537,55.53519088483111,0.06021988046799025,0.0888731972015664,0.05856993491210924,0.06318011549982076,0.010720198497000049,0.006200979635307636,0.04030740035573493,0.05997589418884592,0.08647923108512347,0.058349863035192275,108.32653044560504,122.29556604873831,68.02415514702099,0.03398982181693012,0.034105022184178116,0.03610424543693651,0.0005012391661930914,940.7581498500915
0.325,0.07003,1514.008550819387,1721.408519184179,0.8798314593266615,1.3929965910850033,1.4678232295349554,1.5848639886177383,0.2875095566214333,0.00035937500000000005,0.39560937500000004,1.3417582627305402,1.9519925039069412,1.4555987483591042,1723.5882505454188,1798.0426828906857,1363.5862773275685,0.5432753623413648,0.30656456977151725,0.7255082575626136,0.996384808484986,4374.524436522672,0.025061905354541558,91.48431893435762,47.45534379827367,0.0527686186370846,0.07654825233071365,0.05637143431340386,0.06077003333311289,0.009847038465709711,0.0035033117702218566,0.03687446702475,0.05640609822547584,0.08021402712862113,0.04661315647164198,99.39157412917906,110.25020755990838,53.74956891980639,0.015228475294121187,0.03311983182011522,0.03188027156121155,0.0003352942080346123,709.5157902871163
0.325,0.07263,1521.427719173376,1716.9997443260409,0.8865195769665476,1.3758816167944412,1.4309520295470048,1.5541744240391138,0.28954175984290814,0.0005,0.39635937499999996,1.3120149697428827,1.9194218314437952,1.4642844525079572,1721.9518260175164,1800.2274037954935,1372.249018253509,0.4696710467519752,0.33105921116019543,0.7357194978514278,0.9959976502391703,3371.993351920557,0.03072935241751767,108.17841939920993,58.135487321038184,0.06185161841610539,0.09051268620950349,0.07342474886702023,0.0745127277219896,0.01094447552049615,0.003945923529416149,0.04131065320664121,0.06996999327341316,0.09794184918907185,0.05824523892184752,117.33189268117366,132.8721470341395,72.21514760945851,0.025184595822408718,0.041582651617483424,0.036351778385097906,0.00038405713322277465,731.850827123047
0.3,0.073635,1514.7852307524504,1718.475804823491,0.8819638997015463,1.3901257654287342,1.4565449584849057,1.5778245093335794,0.2888556602703201,0.001140625,0.3986875000000001,1.3383798292963918,1.938236991482459,1.4492168148155162,1720.4756935673452,1797.035696040796,1365.9282087522745,0.5275123519504623,0.31520063067111614,0.7263115686994837,0.9966810878816915,4061.655919617697,0.03164674983311871,102.24117518689418,58.458695779438905,0.05929532163350187,0.09457623804009196,0.06582922346316286,0.07498946403799053,0.011463228200304636,0.008014132414639467,0.0429120193681211,0.06839610813080213,0.09778360611893736,0.053071265511046156,114.2378898360704,130.16853388279654,67.33614914915312,0.02020312876180897,0.03989534765681121,0.03429449846379215,0.0002080827914992127,1514.5936987688794
