lambda_LM,unemployment_rate,nominal_GDP,real_GDP,mean_price,mean_wage,median_real_wage,mean_real_wage,gini_coefficient,share_of_inactive,share_of_refinanced,unskilled_wage,skilled_wages,wage_ratio_s_to_u,C,DC,total_expenditure,A_ratio_FtoH,mean_m,mean_uc,mean_delta,tot_inv,unemployment_rate_sd,nominal_GDP_sd,real_GDP_sd,mean_price_sd,mean_wage_sd,median_real_wage_sd,mean_real_wage_sd,gini_coefficient_sd,share_of_inactive_sd,share_of_refinanced_sd,unskilled_wage_sd,skilled_wages_sd,wage_ratio_s_to_u_sd,C_sd,DC_sd,total_expenditure_sd,A_ratio_FtoH_sd,mean_m_sd,mean_uc_sd,mean_delta_sd,tot_inv_sd
1.0,0.07273,1605.9655630015925,1675.8807583393711,0.9586488343018934,1.4031344843680509,1.2584333359045168,1.4651680687821247,0.3454783795523049,0.000796875,0.40328125,1.2457268616615724,1.7952563001126272,1.4423202883297237,1672.0500836158585,1777.2743350038058,1383.522264062342,0.41878587450045573,0.4205793933470668,0.7995897255837998,0.9976578321800571,4014.0273133997252,0.025991288925330324,108.69152656526396,48.45739417903031,0.06419156185192314,0.0910056741993473,0.051721431831828174,0.06245438495403045,0.014094429756302812,0.006588471672882489,0.040250376065789746,0.05801667582973624,0.08835684585742482,0.06240869882819466,101.98927999650981,118.01229947840045,59.8326542771581,0.011974611587622275,0.05195362235671662,0.04713890701431665,0.0001255489322220348,651.1925400242494
10.0,0.07351250000000001,1506.2918311950455,1731.4846311154986,0.8708018493440934,1.3492632955898953,1.4624178686092468,1.5523685190228003,0.2653575850859179,0.00071875,0.3656875,1.3071956989643925,1.9222001602933434,1.4714127139791537,1725.3126026869495,1796.363019130563,1369.7711572425208,0.5571157937378566,0.31870390576112106,0.7017325377734369,0.9936440539884592,3061.066075273743,0.037730224538822965,126.20477309749894,70.59174814697239,0.07438553620506698,0.10810928684216843,0.07632598703798932,0.08493945992702041,0.011398043184755544,0.005665737898764821,0.041818945691516424,0.07492468497778658,0.11292603449866098,0.05621457574688978,142.40700671881493,158.65643971933122,84.08546615086497,0.0338997260401636,0.04097651535015731,0.03913409215336313,0.0005934653970286752,1353.1153510326294
8.0,0.0693025,1473.4820657599257,1741.8400672557532,0.8464013692953825,1.3458268979552583,1.5077907538903441,1.592060003323685,0.26324774564653713,0.00042187499999999994,0.36950000000000005,1.3413951015230419,1.9704433107845927,1.4700793694627812,1740.3906855644389,1805.9074199543645,1353.037905417764,0.5923051211883852,0.29163394683946164,0.6967936535018727,0.9934089305984258,2891.7224776735857,0.031949350443318855,105.65629272518112,60.04225252851733,0.06000922558098467,0.09142710552672127,0.07209914392978417,0.07406842343096233,0.01079275562123405,0.004410320593151364,0.04047356390287368,0.0689564816681719,0.09443537694111634,0.05062522086205783,122.77032740954466,136.07687957003824,73.72945614636816,0.02604467960438909,0.03565940051790551,0.03483924055759891,0.0007378462875336168,505.1906223059412
2.0,0.0726925,1527.0845120332167,1698.7531101316779,0.8994339926600563,1.4011080933326319,1.4012732383754496,1.5594241976708445,0.30940320248829367,0.00059375,0.4011875,1.3199329541914155,1.920394162369221,1.4560687211021175,1703.6880956929772,1788.3276832093197,1360.9943902130003,0.5041380619689722,0.32748609026289943,0.7785658367232086,0.996511564156568,3363.973955644097,0.02507474713232417,97.4838477137988,48.2496252760739,0.059374410806456814,0.09050241391377117,0.0656937699368441,0.06969760412178197,0.010872287158596394,0.005416175859174072,0.04105964601954089,0.06363111405053436,0.09816257784962885,0.06269992370890962,96.58036407609328,107.52467074464732,58.572100450763536,0.012192379971530646,0.04127272917176983,0.042607954521843676,0.00028802210940398964,894.6169672416052
1.0,0.07623250000000001,1621.849670056845,1660.0838660852016,0.9774367431395612,1.362673961523173,1.195601487392121,1.3963720930030028,0.35181496586533023,0.0012656250000000003,0.3986562500000001,1.1885321189494773,1.707952658755034,1.4392075479538642,1662.7842721618613,1775.8637080819335,1406.9494456855673,0.31101706805020785,0.474898851212112,0.8121149251576031,0.9976224035379461,2688.198595890765,0.034102103215930823,148.02114781886957,62.13584589971798,0.08668276981761011,0.11781143798681512,0.06547129243971246,0.07534532201992789,0.013358284276155779,0.010479693440620056,0.048649244839334346,0.07291406561298874,0.10111776757465592,0.07596005231559701,132.01284556018996,158.02550686740037,86.45822752864206,0.059501045973108235,0.07332200768599251,0.04798244719570176,0.00011732676935453336,803.6445294384777
5.0,0.0706625,1497.8055584723334,1729.9792095338094,0.866221950651806,1.3697687719132192,1.4787610370811464,1.5829985138176352,0.2772860576034701,0.0005,0.383515625,1.3351954624922913,1.9561725942546775,1.4663391108798414,1725.7919857602715,1797.1452546998469,1356.7959678629259,0.5393248223747388,0.3086307567432355,0.7083182279734709,0.994516852819701,3031.3700333223164,0.03119893577912553,100.83390724361256,57.725332399572366,0.0573571121433256,0.08752151245829183,0.06632773381813922,0.06772663185888013,0.010162660880872929,0.004139180172449612,0.03843932604910465,0.06517875755680377,0.08656191099513795,0.053003449417562166,115.88662544077573,129.34808965370829,69.88077316258068,0.021880179542806598,0.03390249086857537,0.03255631414680208,0.0005456661050105709,696.4617904443468
8.0,0.06830750000000001,1504.6044337753933,1736.0520745788945,0.8672224954718097,1.360325740751132,1.4767214914222935,1.570577942089592,0.26555887135767703,0.00040625000000000004,0.373328125,1.3226527204931495,1.9449188089447558,1.4711666951845483,1733.214410339201,1799.9580766275512,1365.7020342452504,0.5664813424947119,0.305694150338337,0.7288854794024884,0.9937610151464012,4766.186406049392,0.028541425047639072,99.91420784006392,53.92850867934494,0.05930448195921126,0.08849269452104597,0.06745391719383895,0.0714841257228484,0.00963708228588438,0.004102090739793551,0.039340730995170575,0.06281415859132004,0.09665349194755571,0.05005824106004945,116.79838748878988,128.26915740770795,65.07753719609741,0.0378001159893886,0.03467940046503503,0.0403917075909231,0.0006760643596134932,1307.7507702968187
5.0,0.0713175,1499.280569486855,1729.4221817536472,0.8673524236678765,1.3643890702184505,1.4707199007949567,1.5750804925392423,0.27591774208196246,0.000765625,0.376375,1.3295699072841864,1.9460341914444905,1.4647029824494981,1730.380520535293,1800.3742420844076,1364.067042313292,0.5149365867331592,0.31412466336123623,0.6981352266874551,0.9942131342652719,2810.8987490268164,0.02956030604966733,104.07786057614001,55.531743745970864,0.059987885109099165,0.08864466897534388,0.06918347081876457,0.0716059083424265,0.011569328085317427,0.006457474321232334,0.041801054113502926,0.06461157194139464,0.09760476528688614,0.05862202673457151,114.66308182106071,127.34006555254904,68.09037840663314,0.04098648882731166,0.038737332935224814,0.03258394146284948,0.000643982098724277,775.8888534966505
10.0,0.06699,1471.5979163544719,1745.237211190145,0.8435421555430395,1.3463515726243276,1.5129772926477063,1.597768322428355,0.2611735527671457,0.000125,0.37060937499999996,1.3458276633665276,1.9781378830245095,1.4708007572032034,1750.038953202707,1813.5600689730386,1349.7336721189706,0.6289145060009104,0.2866134081179394,0.6856851381667206,0.9932472104918036,4565.79347374047,0.02357721145513182,80.39348838100598,44.451834447197925,0.04718039213897086,0.06776990592319083,0.06132757360981091,0.06285137162463182,0.009566137851120428,0.0018178799465311236,0.033922587509790214,0.058432269145160316,0.08305128027301426,0.050725727370935565,92.98139902441113,101.8799516030558,53.49225128494811,0.024136665932872607,0.02873116712204658,0.02800757608512663,0.0007067476012839849,1164.7468346151288
8.0,0.0707575,1505.6465849597773,1734.735519690328,0.8686482389962852,1.3503821155479534,1.4634510030248107,1.557266514527624,0.26824637577377514,0.000390625,0.37371875000000004,1.3107869090172934,1.9295828065403304,1.4731766589795905,1735.1936507647627,1804.902959505539,1371.7505386744917,0.5157556304500068,0.32001996326514925,0.6997016211670956,0.9933299223578992,3143.6936665079966,0.033777191916291666,117.4370977507329,63.18338408778496,0.06925430706134891,0.09977532398260884,0.0758039246595611,0.07926349724733359,0.00991315149562545,0.004457234945498722,0.04294708544753066,0.07166786093061973,0.10283572628630774,0.0535567608107619,133.941818596407,147.74079488939614,77.25833382497953,0.0433531364869936,0.04377264744078774,0.0347303643835303,0.0005872152697576488,620.9442963063403
